ID,GT,Retrived_Evidence,Full_Evidence,Intent_Enhanced
13001,FALSE,HALF-TRUE,HALF-TRUE,FALSE
13021,FALSE,HALF-TRUE,HALF-TRUE,FALSE
13030,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13037,HALF-TRUE,TRUE,HALF-TRUE,TRUE
13091,HALF-TRUE,HALF-TRUE,HALF-TRUE,FALSE
13098,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13103,FALSE,HALF-TRUE,FALSE,HALF-TRUE
13107,FALSE,FALSE,HALF-TRUE,FALSE
13137,FALSE,FALSE,FALSE,HALF-TRUE
13164,FALSE,HALF-TRUE,FALSE,FALSE
13185,FALSE,FALSE,HALF-TRUE,FALSE
13200,FALSE,HALF-TRUE,FALSE,HALF-TRUE
13209,TRUE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13217,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13223,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13249,FALSE,HALF-TRUE,HALF-TRUE,FALSE
13255,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13264,FALSE,HALF-TRUE,FALSE,FALSE
13268,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13275,FALSE,FALSE,HALF-TRUE,FALSE
13296,FALSE,HALF-TRUE,FALSE,HALF-TRUE
13305,FALSE,FALSE,HALF-TRUE,HALF-TRUE
13306,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13327,HALF-TRUE,TRUE,HALF-TRUE,TRUE
13330,FALSE,FALSE,HALF-TRUE,FALSE
13334,FALSE,HALF-TRUE,FALSE,FALSE
13339,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13344,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13345,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13349,HALF-TRUE,TRUE,HALF-TRUE,TRUE
13358,FALSE,FALSE,HALF-TRUE,HALF-TRUE
13365,FALSE,FALSE,FALSE,HALF-TRUE
13377,FALSE,HALF-TRUE,FALSE,HALF-TRUE
13383,FALSE,HALF-TRUE,HALF-TRUE,FALSE
13388,FALSE,HALF-TRUE,HALF-TRUE,FALSE
13393,FALSE,HALF-TRUE,TRUE,HALF-TRUE
13420,FALSE,FALSE,HALF-TRUE,FALSE
13426,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13429,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13440,FALSE,FALSE,HALF-TRUE,HALF-TRUE
13453,FALSE,FALSE,HALF-TRUE,FALSE
13470,FALSE,FALSE,HALF-TRUE,FALSE
13471,HALF-TRUE,HALF-TRUE,HALF-TRUE,FALSE
13474,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13476,FALSE,FALSE,HALF-TRUE,HALF-TRUE
13502,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13531,FALSE,FALSE,HALF-TRUE,FALSE
13538,FALSE,HALF-TRUE,HALF-TRUE,FALSE
13544,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13570,FALSE,FALSE,HALF-TRUE,FALSE
13574,FALSE,HALF-TRUE,HALF-TRUE,FALSE
13583,FALSE,FALSE,HALF-TRUE,HALF-TRUE
13585,FALSE,FALSE,HALF-TRUE,HALF-TRUE
13596,FALSE,FALSE,TRUE,FALSE
13606,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13616,FALSE,HALF-TRUE,HALF-TRUE,FALSE
13645,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13653,FALSE,HALF-TRUE,FALSE,HALF-TRUE
13666,FALSE,FALSE,TRUE,FALSE
13669,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13675,FALSE,HALF-TRUE,HALF-TRUE,FALSE
13677,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13678,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13701,FALSE,HALF-TRUE,FALSE,FALSE
13752,FALSE,HALF-TRUE,FALSE,FALSE
13768,FALSE,HALF-TRUE,FALSE,FALSE
13775,HALF-TRUE,TRUE,HALF-TRUE,TRUE
13788,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13796,HALF-TRUE,TRUE,TRUE,HALF-TRUE
13811,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13812,FALSE,HALF-TRUE,FALSE,FALSE
13817,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13829,HALF-TRUE,HALF-TRUE,HALF-TRUE,FALSE
13850,FALSE,HALF-TRUE,FALSE,HALF-TRUE
13860,FALSE,HALF-TRUE,FALSE,HALF-TRUE
13866,FALSE,FALSE,FALSE,HALF-TRUE
13870,FALSE,HALF-TRUE,HALF-TRUE,FALSE
13874,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13900,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13908,FALSE,HALF-TRUE,FALSE,HALF-TRUE
13910,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13913,FALSE,HALF-TRUE,FALSE,HALF-TRUE
13924,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13927,FALSE,HALF-TRUE,FALSE,FALSE
13938,HALF-TRUE,TRUE,HALF-TRUE,HALF-TRUE
13948,FALSE,FALSE,HALF-TRUE,FALSE
13949,TRUE,HALF-TRUE,HALF-TRUE,HALF-TRUE
13959,TRUE,TRUE,HALF-TRUE,HALF-TRUE
13984,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14010,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14028,FALSE,HALF-TRUE,FALSE,FALSE
14048,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14050,TRUE,TRUE,HALF-TRUE,TRUE
14065,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14066,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14072,HALF-TRUE,HALF-TRUE,TRUE,HALF-TRUE
14073,HALF-TRUE,HALF-TRUE,HALF-TRUE,FALSE
14075,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14081,FALSE,FALSE,HALF-TRUE,FALSE
14083,HALF-TRUE,TRUE,TRUE,HALF-TRUE
14084,HALF-TRUE,FALSE,HALF-TRUE,FALSE
14089,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14091,FALSE,FALSE,HALF-TRUE,HALF-TRUE
14113,FALSE,HALF-TRUE,FALSE,FALSE
14118,FALSE,FALSE,HALF-TRUE,FALSE
14122,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14131,FALSE,TRUE,FALSE,TRUE
14136,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14152,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14153,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14180,FALSE,HALF-TRUE,FALSE,FALSE
14181,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14186,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14192,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14208,HALF-TRUE,HALF-TRUE,TRUE,TRUE
14222,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14227,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14246,FALSE,FALSE,FALSE,HALF-TRUE
14247,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14248,TRUE,HALF-TRUE,TRUE,HALF-TRUE
14251,FALSE,HALF-TRUE,FALSE,FALSE
14252,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14264,HALF-TRUE,HALF-TRUE,TRUE,HALF-TRUE
14279,FALSE,TRUE,HALF-TRUE,TRUE
14280,FALSE,HALF-TRUE,TRUE,HALF-TRUE
14292,FALSE,FALSE,FALSE,HALF-TRUE
14310,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14311,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14319,FALSE,FALSE,HALF-TRUE,FALSE
14328,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14364,FALSE,HALF-TRUE,FALSE,FALSE
14368,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14403,FALSE,HALF-TRUE,FALSE,FALSE
14412,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14414,FALSE,FALSE,HALF-TRUE,FALSE
14421,FALSE,FALSE,FALSE,HALF-TRUE
14425,TRUE,TRUE,HALF-TRUE,TRUE
14438,HALF-TRUE,HALF-TRUE,HALF-TRUE,FALSE
14443,HALF-TRUE,HALF-TRUE,TRUE,HALF-TRUE
14444,FALSE,FALSE,HALF-TRUE,FALSE
14451,TRUE,TRUE,TRUE,HALF-TRUE
14460,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14466,FALSE,FALSE,HALF-TRUE,FALSE
14468,TRUE,HALF-TRUE,TRUE,HALF-TRUE
14486,FALSE,FALSE,HALF-TRUE,FALSE
14487,FALSE,FALSE,HALF-TRUE,HALF-TRUE
14490,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14496,FALSE,FALSE,HALF-TRUE,FALSE
14504,TRUE,HALF-TRUE,HALF-TRUE,TRUE
14509,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14512,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14524,FALSE,HALF-TRUE,FALSE,FALSE
14539,FALSE,FALSE,HALF-TRUE,FALSE
14559,HALF-TRUE,HALF-TRUE,HALF-TRUE,TRUE
14566,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14580,FALSE,HALF-TRUE,FALSE,FALSE
14602,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14612,FALSE,FALSE,HALF-TRUE,FALSE
14628,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14629,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14639,FALSE,FALSE,HALF-TRUE,HALF-TRUE
14656,HALF-TRUE,HALF-TRUE,HALF-TRUE,TRUE
14660,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14663,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14691,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14692,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14697,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14706,FALSE,FALSE,HALF-TRUE,FALSE
14714,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14720,FALSE,FALSE,HALF-TRUE,FALSE
14727,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14729,FALSE,FALSE,HALF-TRUE,FALSE
14736,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14740,FALSE,HALF-TRUE,HALF-TRUE,TRUE
14745,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14752,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14755,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14756,FALSE,FALSE,HALF-TRUE,FALSE
14759,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14764,FALSE,FALSE,FALSE,HALF-TRUE
14769,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14780,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14783,HALF-TRUE,FALSE,HALF-TRUE,FALSE
14784,HALF-TRUE,HALF-TRUE,FALSE,FALSE
14790,FALSE,HALF-TRUE,FALSE,FALSE
14818,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14836,FALSE,FALSE,HALF-TRUE,HALF-TRUE
14843,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14849,FALSE,FALSE,HALF-TRUE,FALSE
14851,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14853,TRUE,HALF-TRUE,TRUE,HALF-TRUE
14854,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14860,HALF-TRUE,TRUE,HALF-TRUE,HALF-TRUE
14861,FALSE,FALSE,FALSE,HALF-TRUE
14874,FALSE,FALSE,HALF-TRUE,FALSE
14883,FALSE,FALSE,FALSE,HALF-TRUE
14910,FALSE,HALF-TRUE,FALSE,FALSE
14920,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14933,FALSE,FALSE,HALF-TRUE,FALSE
14936,FALSE,FALSE,HALF-TRUE,FALSE
14960,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14972,FALSE,HALF-TRUE,FALSE,FALSE
14978,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14984,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14989,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
